Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,1.205930,1.206260,1.200800,1.206070,1.206070,0
2021-06-02,1.206800,1.208900,1.204400,1.206900,1.206900,0
2021-06-03,1.203950,1.211910,1.202800,1.203800,1.203800,0
2021-06-04,1.210950,1.213210,1.207340,1.210700,1.210700,0
2021-06-07,1.207500,1.210650,1.206180,1.207580,1.207580,0
2021-06-08,1.208670,1.210130,1.207040,1.208670,1.208670,0
2021-06-09,1.211470,1.211470,1.205700,1.211140,1.211140,0
2021-06-10,1.211510,1.212420,1.207140,1.211460,1.211460,0
2021-06-11,1.209550,1.216290,1.207900,1.209300,1.209300,0
2021-06-14,1.215660,1.217000,1.212840,1.215800,1.215800,0
2021-06-15,1.214100,1.220210,1.212900,1.214100,1.214100,0
2021-06-16,1.218440,1.219000,1.215800,1.218560,1.218560,0
2021-06-17,1.227890,1.235540,1.226100,1.227800,1.227800,0
2021-06-18,1.234630,1.247880,1.233970,1.234520,1.234520,0
2021-06-21,1.245210,1.248480,1.236600,1.244990,1.244990,0
2021-06-22,1.237080,1.240200,1.236150,1.237000,1.237000,0
2021-06-23,1.231110,1.232820,1.225230,1.231000,1.231000,0
2021-06-24,1.230330,1.234050,1.228100,1.230330,1.230330,0
2021-06-25,1.232250,1.232800,1.227180,1.232230,1.232230,0
2021-06-28,1.229110,1.234680,1.228700,1.229190,1.229190,0
2021-06-29,1.233430,1.239720,1.233000,1.233400,1.233400,0
2021-06-30,1.239700,1.242230,1.235610,1.239620,1.239620,0
2021-07-01,1.239570,1.242570,1.236520,1.239270,1.239270,0
2021-07-02,1.243970,1.244930,1.234080,1.244070,1.244070,0
2021-07-05,1.233280,1.236880,1.232630,1.233000,1.233000,0
2021-07-06,1.233690,1.236420,1.229800,1.235100,1.235100,0
